음식점 이름,음식점 카테고리,음식점 평점,음식점 주소,카페이름,카페주소,카페 평점,문화시설 이름,문화시설 주소,관광시설 이름,관광시설 주소,숙박업소 이름,숙박업소 카테고리,숙박업소 평점,숙박업소 주소
유야케도쿄,일식,3.3172212,서울 서대문구 대현동 37-30,옥루몽 신촌본점,서울 서대문구 대신동 50-3,3.7692275,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,홍대예술의거리 나들길,서울 마포구 창전동,H에비뉴호텔 신촌이대점,호텔,3.7650409,서울 마포구 노고산동 1-74
미도인 신촌,일식,3.3172212,서울 서대문구 창천동 45-12,비로소커피,서울 마포구 신수동 85-19,3.7692275,서강대학교메리홀 소극장,서울 마포구 신수동 1-1,용강상점가,서울 마포구 용강동 40-5,필스테이 이화부띠끄점,게스트하우스,2.0114238,서울 서대문구 대현동 56-126
신촌서서갈비,한식,3.8059044,서울 마포구 노고산동 107-29,룸익스케이프 화이트점,서울 서대문구 창천동 5-21,3.7692275,마포아트센터 아트홀맥,서울 마포구 대흥동 30-3,도화동상점가,서울 마포구 도화동 179-5,롯데시티호텔 마포,호텔,3.7650409,서울 마포구 공덕동 467
란주탕슉,중식,3.5214744,서울 서대문구 대현동 53-20,밀랑스,서울 마포구 대흥동 2-30,3.7692275,포스트극장,서울 마포구 창전동 5-92,서울명예도로 프랑스로,서울 서대문구 충정로3가 465,굿타임호텔,모텔,0.5822444,서울 서대문구 대현동 104-41
,,,,꽃피다이화다방,서울 서대문구 대현동 37-1,3.7692275,신촌아리수스트로 공연장,서울 서대문구 창천동 31-119,연세대학교 백양로,서울 서대문구 신촌동 134,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
소신이쏘,한식,3.8059044,서울 서대문구 창천동 57-39,미스터힐링 신촌점,서울 서대문구 창천동 20-51,3.7692275,아트스페이스 라프,서울 서대문구 북아현동 177-1,마포전골목,서울 마포구 공덕동,브라운스위트호텔 신촌센트럴,호텔,3.7650409,서울 마포구 노고산동 57-26
효동각 본점,중식,3.5214744,서울 서대문구 대신동 50-2,포티드,서울 서대문구 창천동 5-58,3.7692275,윤동주기념관,서울 서대문구 신촌동 134,신촌이대거리,서울 서대문구 창천동,서울큐브이화,게스트하우스,2.0114238,서울 마포구 염리동 9-124
,,,,비파티세리 공덕점,서울 마포구 공덕동 105-67,3.7692275,북아현문화체육센터 아트홀,서울 서대문구 북아현동 1012-2,이대앞사주카페거리,서울 서대문구 대현동,호텔밀하우스,호텔,3.7650409,서울 서대문구 창천동 29-56
미도인 신촌,일식,3.3172212,서울 서대문구 창천동 45-12,댓커피,서울 마포구 노고산동 19-52,3.7692275,AOR라이브클럽,서울 마포구 서교동 325-26,도화동상점가,서울 마포구 도화동 179-5,에버8,호텔,3.7650409,서울 서대문구 대현동 104-5
,,,,메가MGC커피 신촌점,서울 서대문구 창천동 31-40,3.7692275,서울마포음악창작소,서울 마포구 아현동 610-1,공덕소담길,서울 마포구 공덕동,서울큐브이화,게스트하우스,2.0114238,서울 마포구 염리동 9-124
